"the_geom","STATION_ID","LONGNAME","LINES","ADDRESS","ADA","PKNRD","POINT_X","POINT_Y","LEGEND"
"POINT (-87.74517217791391 41.871608050522994)","970","Cicero-Congress","Blue Line (Congress)","720 S. Cicero Avenue","false","false","1,144,440.97667316","1,896,352.78926296","Blue Line"
"POINT (-87.80317598719213 41.88684830347631)","20","Harlem-Lake","Green Line (Lake)","1 S. Harlem Avenue","true","false","1,128,608.76033842","1,901,803.39560403","Green Line"
"POINT (-87.78366103293801 41.88715939826551)","610","Ridgeland","Green Line (Lake)","36 N. Ridgeland Avenue","false","false","1,133,921.86037537","1,901,950.19138017","Green Line"
"POINT (-87.83802598504772 41.984294057828016)","230","Cumberland","Blue Line","5800 N. Cumberland Avenue","true","true","1,118,914.13069739","1,937,256.04587705","Blue Line"
"POINT (-87.62618878473234 41.88322001293653)","1700","Washington/Wabash","Brown, Orange, Pink,  Purple (Express), Green","29 N. Wabash","true","false","1,176,812.47724731","1,900,828.68763513","Multiple Lines"
"POINT (-87.63172207547264 41.875567625950715)","1340","LaSalle","Blue Line","150 W. Congress Parkway","false","false","1,175,328.49516593","1,898,027.79675252","Blue Line"
"POINT (-87.64757831015247 41.89118929406765)","490","Grand/Milwaukee","Blue Line (O'Hare)","502 N. Milwaukee Avenue","false","false","1,170,964.65874586","1,903,685.42030979","Blue Line"
"POINT (-87.68561725654831 42.06398654414921)","1250","Central-Evanston","Purple Line, Evanston Express","1022 W. Central Avenue","false","false","1,160,131.38718378","1,966,573.10446436","Multiple Lines"
"POINT (-87.74361697430824 41.961486633040835)","1330","Montrose-O'Hare","Blue Line","4600 W. Montrose Avenue","false","false","1,144,639.34672135","1,929,107.50647746","Blue Line"
"POINT (-87.62146281101369 41.8218151964997)","300","Indiana","Green Line","4003 S. Indiana Avenue","true","false","1,178,284.91449668","1,878,463.5617263","Green Line"
"POINT (-87.63116917003116 41.79541826211501)","1170","Garfield-Dan Ryan","Red Line","220 W. Garfield Boulevard","true","false","1,175,717.82047829","1,868,822.88715732","Red Line"
"POINT (-87.70615542049478 41.88432109621861)","1070","Kedzie-Lake","Green Line (Lake)","3200 W. Lake Street","true","false","1,155,033.73418703","1,901,060.63233934","Green Line"
"POINT (-87.62517835384935 41.750412342729696)","240","79th","Red Line","15 W. 79th Street","true","false","1,177,486.45894394","1,852,436.46589406","Red Line"
"POINT (-87.64917726687139 41.91065458056037)","650","North/Clybourn","Red Line","1599 N. Clybourn Avenue","false","false","1,170,472.73119341","1,910,775.10249239","Red Line"
"POINT (-87.63102579710096 41.81033813281231)","1230","47th-Dan Ryan","Red Line","220 W. 47th Street","true","false","1,175,712.49286229","1,874,259.92345038","Red Line"
"POINT (-87.68354292586837 42.04771009459835)","50","Davis","Purple Line, Evanston Express","1612 N. Benson Avenue","true","false","1,160,739.71614434","1,960,646.07930684","Multiple Lines"
"POINT (-87.6747361074464 41.94702865537701)","1440","Addison-Ravenswood","Brown Line","1818 W. Addison Street","true","false","1,163,413.93822683","1,923,975.42941668","Brown Line"
